,LOC,MEAS,EQPT,TEST_FLOW,IND_STEP,DPN,CAP,HEADS,DISCS,2025_FW1,2025_FW2,2025_FW3,2025_FW4,2025_FW5,2025_FW6,2025_FW7,2025_FW8,2025_FW9,2025_FW10,2025_FW11,2025_FW12,2025_FW13
105,WUX,YD,GEMINI_IO,GG,FNC2,CIMARRONBPSAS,6000,6,3,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924
106,WUX,YD,GEMINI_IO,GG,CRT2,CIMARRONBPSAS,6000,6,3,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865,1.086698537002865
107,WUX,YD,GEMINI_IO,GG,FIN2,CIMARRONBPSAS,6000,6,3,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976,0.976
108,WUX,YD,GEMINI_IO,GG,SCOPY,CIMARRONBPSAS,6000,8,4,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
109,WUX,YD,GEMINI_IO,GG,PRE2,CIMARRONBPSAS,6000,8,4,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974
110,WUX,YD,GEMINI_IO,GG,CAL2,CIMARRONBPSAS,6000,8,4,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914
111,WUX,YD,GEMINI_IO,GG,FNC2,CIMARRONBPSAS,6000,8,4,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926
112,WUX,YD,GEMINI_IO,GG,CRT2,CIMARRONBPSAS,6000,8,4,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773,1.064987028508773
113,WUX,YD,GEMINI_IO,GG,FIN2,CIMARRONBPSAS,6000,8,4,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974
114,WUX,YD,GEMINI_IO,GG,SCOPY,CIMARRONBPSAS,8000,8,4,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
115,WUX,YD,GEMINI_IO,GG,PRE2,CIMARRONBPSAS,8000,8,4,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974
116,WUX,YD,GEMINI_IO,GG,CAL2,CIMARRONBPSAS,8000,8,4,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914
117,WUX,YD,GEMINI_IO,GG,FNC2,CIMARRONBPSAS,8000,8,4,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926
